"","x"
"1",4957.99680885454
"2",2126.44279625577
"3",4108.88982871759
"4",3002.31290143194
"5",1368.26140299246
"6",4082.50620388048
"7",3837.87586133242
"8",6437.75209723346
"9",2126.44279625577
"10",4392.20085690951
"11",557.47029636431
"12",4082.50620388048
"13",6437.75209723346
"14",4340.13190744623
"15",3217.81763247261
"16",2126.44279625577
"17",4108.88982871759
"18",3217.81763247261
"19",4957.99680885454
"20",6476.26655485911
"21",6437.75209723346
"22",434.650926201067
"23",4364.94508466864
"24",5254.82356865871
"25",6437.75209723346
"26",4082.50620388048
"27",4957.99680885454
"28",5222.18883184907
"29",3837.87586133242
"30",4924.75309253853
"31",6115.03429788365
"32",4625.5752354744
"33",2126.44279625577
"34",4418.95316227661
"35",1607.22828043401
"36",4175.3154452326
"37",4957.99680885454
"38",3389.43903714537
"39",4137.61797082963
"40",4108.88982871759
"41",6437.75209723346
"42",5254.82356865871
"43",5222.18883184907
"44",557.47029636431
"45",210.681801537042
"46",4108.88982871759
"47",6437.75209723346
"48",4364.94508466864
"49",4625.5752354744
"50",4340.13190744623
"51",3189.90284749835
"52",4108.88982871759
"53",8283.52229555195
"54",3408.3112470089
"55",2126.44279625577
"56",3217.81763247261
"57",1094.4209743664
"58",3217.81763247261
"59",3524.40990246574
"60",4924.75309253853
"61",1607.22828043401
"62",4364.94508466864
"63",6115.03429788365
"64",3217.81763247261
"65",6476.26655485911
"66",1368.26140299246
"67",1730.82249757203
"68",6437.75209723346
"69",925.888932457728
"70",4108.88982871759
"71",6476.26655485911
"72",925.888932457728
"73",4108.88982871759
"74",8283.52229555195
"75",4175.3154452326
"76",6115.03429788365
"77",5254.82356865871
"78",4957.99680885454
"79",4108.88982871759
"80",4957.99680885454
"81",0.0662785638231621
"82",2126.44279625577
"83",4957.99680885454
"84",4924.75309253853
"85",1368.26140299246
"86",4392.20085690951
"87",4957.99680885454
"88",4108.88982871759
"89",3217.81763247261
"90",3245.63890627863
"91",6476.26655485911
"92",4108.88982871759
"93",4957.99680885454
"94",3807.23272631866
"95",3245.63890627863
"96",4392.20085690951
"97",4364.94508466864
"98",1124.62208216957
"99",2126.44279625577
"100",4924.75309253853
"101",4924.75309253853
"102",3524.40990246574
"103",4625.5752354744
"104",1828.10147353419
"105",6437.75209723346
"106",3389.43903714537
"107",683.820981743885
"108",2924.83627683236
"109",3807.23272631866
"110",4108.88982871759
"111",6115.03429788365
"112",6115.03429788365
"113",4924.75309253853
"114",2482.81143995703
"115",5254.82356865871
"116",2126.44279625577
"117",4625.5752354744
"118",4364.94508466864
"119",0.0695182793936995
"120",5254.82356865871
"121",3217.81763247261
"122",6476.26655485911
"123",1368.26140299246
"124",4625.5752354744
"125",1730.82249757203
"126",3189.90284749835
"127",4108.88982871759
"128",5222.18883184907
"129",3217.81763247261
"130",1094.4209743664
"131",6476.26655485911
"132",4082.50620388048
"133",3217.81763247261
"134",5222.18883184907
"135",2126.44279625577
"136",178.722639450033
"137",4957.99680885454
"138",3807.23272631866
"139",3245.63890627863
"140",5254.82356865871
"141",4364.94508466864
"142",5287.243080984
"143",5222.18883184907
"144",4924.75309253853
"145",1368.26140299246
"146",4418.95316227661
"147",4957.99680885454
"148",4924.75309253853
"149",282.445440470448
"150",4108.88982871759
"151",4392.20085690951
"152",3245.63890627863
"153",4082.50620388048
"154",4957.99680885454
"155",5254.82356865871
"156",3389.43903714537
"157",3217.81763247261
"158",1782.12719691355
"159",6115.03429788365
"160",455.813416592341
"161",5254.82356865871
"162",4137.61797082963
"163",2126.44279625577
"164",4924.75309253853
"165",2126.44279625577
"166",4625.5752354744
"167",11120.0443923474
"168",2126.44279625577
"169",3002.31290143194
"170",4108.88982871759
"171",5254.82356865871
"172",1607.22828043401
"173",6115.03429788365
"174",2126.44279625577
"175",6437.75209723346
"176",1094.4209743664
"177",4082.50620388048
"178",455.813416592341
"179",4957.99680885454
"180",3807.23272631866
"181",925.888932457728
"182",8283.52229555195
"183",683.820981743885
"184",4924.75309253853
"185",2924.83627683236
"186",6476.26655485911
"187",3217.81763247261
"188",3389.43903714537
"189",925.888932457728
"190",5254.82356865871
"191",4625.5752354744
"192",1368.26140299246
"193",4957.99680885454
"194",3807.23272631866
"195",4108.88982871759
"196",4108.88982871759
"197",3837.87586133242
"198",411.250406886716
"199",2126.44279625577
"200",4108.88982871759
"201",3807.23272631866
"202",4364.94508466864
"203",4108.88982871759
"204",4957.99680885454
"205",2482.81143995703
"206",4625.5752354744
"207",4340.13190744623
"208",2126.44279625577
"209",2126.44279625577
"210",4418.95316227661
"211",4364.94508466864
"212",3217.81763247261
"213",4625.5752354744
"214",4108.88982871759
"215",3837.87586133242
"216",4957.99680885454
"217",3389.43903714537
"218",3217.81763247261
"219",4108.88982871759
"220",4924.75309253853
"221",683.820981743885
"222",4957.99680885454
"223",1449.48504890522
"224",6437.75209723346
"225",4957.99680885454
"226",4924.75309253853
"227",5254.82356865871
