"","k"
"1",0.000217091233321949
"2",0.000157536038881688
"3",0.00013116696451218
"4",0.00013198465812691
"5",0.000140657630942578
"6",0.00013970955016002
"7",0.000295736298023613
"8",0.00013198465812691
"9",0.000215214157589819
"10",0.00013970955016002
"11",0.000149747905081173
"12",0.000113479617154612
"13",0.00013970955016002
"14",0.000168617067032769
"15",0.000106954627734217
"16",0.000107591686498747
"17",0.000335152573350422
"18",0.000198233793180362
"19",8.37898451658076e-05
"20",0.000248774255487663
"21",0.000215214157589819
"22",0.000198233793180362
"23",0.000215214157589819
"24",0.000215551460791981
"25",0.00013198465812691
"26",0.000167415420594261
"27",0.000180447293595078
"28",0.00013198465812691
"29",0.000236731716942635
"30",0.000215214157589819
"31",0.000158573476705244
"32",0.00013970955016002
"33",0.000167415420594261
"34",0.000213376435630473
"35",0.000107591686498747
"36",0.000149747905081173
"37",0.000330000153212229
"38",0.000253443874565617
"39",0.000167415420594261
"40",0.000140657630942578
"41",0.000157536038881688
"42",0.000106954627734217
"43",0.00019975759358973
"44",0.000140657630942578
"45",0.000184329174439298
"46",0.00019975759358973
"47",0.000201309618855859
"48",0.000168617067032769
"49",0.000107591686498747
"50",0.000113479617154612
"51",0.000168617067032769
"52",0.000198233793180362
"53",0.000215214157589819
"54",0.000215214157589819
"55",0.000113479617154612
"56",0.000169839077552772
"57",0.000168617067032769
"58",0.000198233793180362
"59",0.000106954627734217
"60",0.00019975759358973
"61",0.00013970955016002
"62",0.000215551460791981
"63",0.00019975759358973
"64",0.000231513707295509
"65",0.000168617067032769
"66",0.000113479617154612
"67",0.000181893302247806
"68",0.000231513707295509
"69",0.000279086853530285
"70",0.000198233793180362
"71",0.000251081871672831
"72",0.000181893302247806
"73",0.000181893302247806
"74",0.00013116696451218
"75",0.000276031392411941
"76",0.000253443874565617
"77",0.000168617067032769
"78",0.000113479617154612
"79",0.000334212866036
"80",0.000233424876518357
"81",0.000169839077552772
"82",0.000169839077552772
"83",0.000253443874565617
"84",0.000180447293595078
"85",0.000217091233321949
"86",0.000132813852438251
"87",0.000168617067032769
"88",0.000335152573350422
"89",0.000106954627734217
"90",0.000168617067032769
"91",0.000168617067032769
"92",0.000167415420594261
"93",0.00013198465812691
"94",0.000132813852438251
"95",0.000181893302247806
"96",0.000157536038881688
"97",0.000251081871672831
"98",0.00013970955016002
"99",0.000132813852438251
"100",0.000253443874565617
"101",0.000157536038881688
"102",0.000251081871672831
"103",0.000217091233321949
