,k
1,0.00441058
2,0.004744704
3,0.003748147
4,0.004521603
5,0.0041239
6,0.003121546
7,0.002966953
8,0.003425721
9,0.004408446
10,0.003978698
11,0.00449209
12,0.004661478
13,0.004801586
14,0.00242257
15,0.004261206
16,0.003570981
17,0.00221898
18,0.004191093
19,0.004831855
20,0.002514406
21,0.003360233
22,0.003978698
23,0.006263635
24,0.003604158
25,0.003748147
26,0.004629842
27,0.002961832
28,0.004887176
29,0.003748147
30,0.005540591
31,0.002541674
32,0.003493776
33,0.004905593
34,0.00730812
35,0.007150442
36,0.004261206
37,0.004039524
38,0.003691629
39,0.003446665
40,0.005766594
41,0.003602713
42,0.009785249
43,0.005678245
44,0.003473838
45,0.00449209
46,0.004605676
47,0.004241791
48,0.005242196
49,0.003079476
50,0.003390858
51,0.00525897
52,0.008383902
53,0.007150442
54,0.0050302
55,0.004744704
56,0.011941906
57,0.004744704
58,0.005766594
59,0.004153153
60,0.003887118
61,0.004276248
62,0.003473838
63,0.002961832
64,0.003763532
65,0.0041239
66,0.002997827
67,0.005060619
68,0.00552149
69,0.004479696
70,0.008516966
71,0.002997827
72,0.00416234
73,0.003284019
74,0.003142387
75,0.00449209
76,0.005563464
77,0.006414984
78,0.006527404
79,0.003920152
80,0.003284019
81,0.004744704
82,0.00449209
83,0.003691629
84,0.005316982
85,0.00525897
86,0.002961832
87,0.003140826
88,0.00363724
89,0.005160939
90,0.007443208
91,0.005160939
92,0.002870495
93,0.002293288
94,0.004439206
95,0.002293288
96,0.003925679
97,0.003943379
98,0.003473098
99,0.002196433
100,0.003473838
101,0.003713098
102,0.003925679
103,0.001488719
104,0.007413081
105,0.004521603
106,0.005540591
107,0.003155384
108,0.005362095
109,0.003887118
110,0.00592679
111,0.002997827
112,0.0043607
113,0.002715428
114,0.003347444
115,0.003262757
116,0.007150442
117,0.003943379
118,0.003177803
119,0.005316982
120,0.005185779
121,0.004408446
122,0.0028617
123,0.003305368
124,0.00354302
125,0.003101684
126,0.003142387
127,0.005060619
128,0.004470129
129,0.005411939
130,0.003155384
131,0.005766594
132,0.006251347
133,0.003978698
134,0.004801586
135,0.004744704
136,0.003691629
137,0.003943379
138,0.004039524
139,0.002842176
140,0.001581832
141,0.007413081
142,0.004439206
143,0.002603293
144,0.004905593
145,0.004801586
146,0.006750742
147,0.002447383
148,0.015992411
149,0.003570981
150,0.002633013
151,0.003992993
152,0.005060619
153,0.003008913
154,0.001915927
155,0.002633013
156,0.003748147
157,0.00382467
158,0.0043607
159,0.003952268
160,0.006237018
161,0.003308869
162,0.002821558
163,0.002616327
164,0.004905593
165,0.004002475
166,0.006251347
167,0.008516966
168,0.007259958
169,0.003493776
170,0.003763532
171,0.003238434
172,0.00590085
173,0.00783536
174,0.008383902
175,0.004962591
176,0.004543054
177,0.005060619
178,0.002961832
179,0.003234435
180,0.007466254
181,0.005362095
182,0.003101684
183,0.003570981
184,0.003667466
185,0.003473838
186,0.00363724
187,0.003444583
188,0.008516966
189,0.007531024
190,0.005900838
191,0.007443208
192,0.004408446
193,0.003570981
194,0.004831855
195,0.003691629
196,0.006219381
197,0.002447383
198,0.002484066
199,0.003392933
200,0.00441058
201,0.003473098
202,0.004577776
203,0.00416234
204,0.004831855
205,0.002514406
206,0.006055238
207,0.003748147
208,0.003631238
209,0.005766594
210,0.004213573
211,0.004971178
212,0.00221898
213,0.004241791
214,0.002997827
215,0.00354302
216,0.004744704
217,0.002961832
218,0.004213573
219,0.002529867
220,0.007413081
221,0.005640413
222,0.003920152
223,0.004661478
224,0.00363724
225,0.007150442
226,0.004039524
227,0.005411939
228,0.00351509
229,0.008516966
230,0.003444583
231,0.003215847
232,0.00315872
233,0.004905593
234,0.004744704
235,0.004801586
236,0.003602713
237,0.008703192
238,0.003439235
239,0.006576897
240,0.003142387
241,0.003347444
242,0.008911014
243,0.003238434
244,0.008096334
245,0.003667466
246,0.010312615
247,0.003121546
248,0.003347444
249,0.004962591
250,0.004521603
251,0.005773764
252,0.004241791
253,0.005766594
254,0.006576897
255,0.004364544
256,0.003284019
257,0.003992993
258,0.00221898
259,0.004577776
260,0.002646534
261,0.003992993
262,0.005060619
263,0.002997827
264,0.003978698
265,0.005411939
266,0.004744704
267,0.008383902
268,0.001803037
269,0.003521187
270,0.00525897
271,0.003238434
272,0.003390858
273,0.00242257
274,0.002733295
275,0.00363724
276,0.005060619
277,0.004241791
278,0.006095678
279,0.004801586
280,0.003521187
281,0.003439235
282,0.00363724
283,0.0041239
284,0.003142387
285,0.003664083
286,0.008171782
287,0.006593236
288,0.004661478
289,0.00441058
290,0.004153153
291,0.00525897
292,0.005362095
293,0.006408051
294,0.001527121
295,0.003142387
296,0.002293288
297,0.007211954
298,0.006068656
299,0.003521187
300,0.011941906
301,0.007413081
302,0.00525897
303,0.004191093
304,0.00354302
305,0.002824971
306,0.003967644
307,0.002633013
308,0.007150442
309,0.003293785
310,0.00449209
311,0.003691629
312,0.003691629
313,0.005678245
314,0.005540591
315,0.006237018
316,0.00416234
317,0.005185779
318,0.004153153
319,0.003602713
320,0.004905593
321,0.004831855
322,0.004408446
323,0.003284019
324,0.003915805
325,0.001854458
326,0.003887118
327,0.00274861
328,0.004039524
329,0.00525897
330,0.003079476
331,0.007150442
332,0.002121798
333,0.007150442
334,0.003473098
335,0.005060619
336,0.004039524
337,0.004661478
338,0.003691629
339,0.009785249
340,0.004905593
341,0.002770751
342,0.003444583
343,0.0041239
344,0.001449442
345,0.00416234
346,0.0050302
347,0.003521187
348,0.004661478
349,0.002514406
350,0.003691629
351,0.005540591
352,0.0050302
353,0.004191093
354,0.003992993
355,0.002541674
356,0.00573094
357,0.005147884
358,0.002142495
359,0.005678245
360,0.003748147
361,0.005316982
362,0.005160939
363,0.009785249
364,0.006593236
365,0.005147884
366,0.005678245
367,0.003284019
368,0.009785249
369,0.011627895
370,0.004364544
371,0.002293288
372,0.005411939
373,0.001860178
374,0.00516537
375,0.003952268
376,0.00274861
377,0.002207637
378,0.011941906
379,0.002529867
380,0.0028617
381,0.012129221
382,0.003992993
383,0.003008913
384,0.001909645
385,0.007000204
386,0.003748147
387,0.006068656
388,0.004521603
389,0.004807593
390,0.003978698
391,0.005930495
392,0.004801586
393,0.004703447
394,0.007150442
395,0.003691629
396,0.003238434
397,0.005242196
398,0.00363724
399,0.0028617
400,0.003978698
401,0.004433564
402,0.003920152
403,0.003775674
404,0.004887176
405,0.003101684
406,0.004744704
407,0.00592679
408,0.003473838
409,0.003748147
410,0.005316982
411,0.003952268
412,0.009785249
413,0.005297111
414,0.007443208
415,0.004807107
416,0.003062258
417,0.002303152
418,0.004439206
419,0.002966953
420,0.005678245
421,0.006237018
422,0.010312615
423,0.004801586
424,0.003305368
425,0.003920152
426,0.005900838
427,0.003253091
428,0.00730812
429,0.00516537
430,0.003473838
431,0.005540591
432,0.004479696
433,0.00592679
434,0.004094854
435,0.007150442
436,0.003155384
437,0.005678245
438,0.00449209
439,0.003284019
440,0.003238434
441,0.004479696
442,0.00573094
443,0.00242257
444,0.006699261
445,0.004191093
446,0.009587492
447,0.006251347
448,0.004661478
449,0.00637555
450,0.003473838
451,0.009785249
452,0.007413081
453,0.003347444
454,0.004213573
455,0.004002475
456,0.002541674
457,0.003992993
458,0.00275473
459,0.007150442
460,0.003978698
461,0.002293288
462,0.00525897
463,0.004543054
464,0.008516966
465,0.004241791
466,0.005678245
467,0.006068656
468,0.005160939
469,0.002870495
470,0.00416234
471,0.004807107
472,0.004433564
473,0.007211954
474,0.00363724
