"","N50"
"1",122.750118434087
"2",293.912775472635
"3",190.532195986678
"4",288.892189409222
"5",77.7651795628309
"6",242.213537644546
"7",130.372463208369
"8",122.067957364315
"9",56.8353056293909
"10",124.782411929089
"11",124.447869535553
"12",108.153162666195
"13",122.692175914444
"14",106.11633450612
"15",69.0541152086771
"16",119.099507151667
"17",151.412530803078
"18",215.961552458696
"19",169.142250476653
"20",179.503855295412
"21",106.325166518032
"22",161.360604656912
"23",77.7799145239955
"24",184.923006851867
"25",269.678142863067
"26",149.995962224953
"27",84.8195966551447
"28",122.692175914444
"29",177.486167173287
"30",106.325166518032
"31",122.692175914444
"32",177.486167173287
"33",60.2290658193083
"34",80.9417196280053
"35",95.2638170553176
"36",93.2657868474082
"37",187.754345071017
"38",130.372463208369
"39",155.897284125284
"40",88.1165501147955
"41",128.07261431177
"42",95.2638170553176
"43",179.503855295412
"44",122.750118434087
"45",124.782411929089
"46",85.9702332140678
"47",187.754345071017
"48",175.134203440746
"49",128.07261431177
"50",111.113564963596
"51",155.897284125284
"52",64.5019558935247
"53",122.692175914444
"54",253.883134997973
"55",64.3346986970086
"56",136.12732234209
"57",163.40826199631
"58",93.8296857208518
"59",211.062847177408
"60",100.251907502601
"61",122.692175914444
"62",187.754345071017
"63",79.2530394549715
"64",122.692175914444
"65",164.963307873352
"66",136.12732234209
"67",178.275136911926
"68",179.950397729243
"69",125.101693058131
"70",112.475029690308
"71",70.905542297984
"72",59.6334715262979
"73",148.205355344474
"74",187.754345071017
"75",215.961552458696
"76",152.901351634778
"77",144.552271749153
"78",184.923006851867
"79",221.999060639443
"80",132.539979608574
"81",290.596098664425
"82",122.692175914444
"83",175.370843275589
"84",89.6510244425527
"85",153.236205355862
"86",141.296299283013
"87",147.371614757809
"88",253.883134997973
"89",106.325166518032
"90",263.237620310765
"91",166.525774472291
"92",35.2665110523261
"93",175.370843275589
"94",199.532678645389
"95",302.042922896699
"96",290.596098664425
"97",141.296299283013
"98",125.101693058131
"99",157.147912105339
"100",278.598778012207
"101",158.822592818681
"102",220.567709809785
"103",214.032908086784
"104",312.167754057442
"105",151.412530803078
"106",46.7596230252483
"107",326.637688370837
"108",138.78296408502
"109",157.142052358161
"110",122.750118434087
"111",122.750118434087
"112",153.236205355862
"113",83.1338101578201
"114",179.950397729243
"115",156.684566512737
"116",125.101693058131
"117",138.78296408502
"118",136.12732234209
"119",166.525774472291
"120",184.923006851867
"121",302.042922896699
"122",157.142052358161
"123",290.596098664425
"124",169.142250476653
"125",173.587321327608
"126",169.142250476653
"127",218.465076767527
"128",46.23521649774
"129",189.164214140523
"130",164.963307873352
"131",253.588922543042
"132",133.616262647245
"133",242.213537644546
"134",144.552271749153
"135",215.961552458696
"136",114.215534289637
"137",121.496558012576
"138",67.2128343831336
"139",221.999060639443
"140",130.372463208369
"141",95.2638170553176
"142",122.692175914444
"143",207.545140046357
"144",151.412530803078
"145",157.492510711755
"146",133.616262647245
"147",133.616262647245
"148",154.297561136741
"149",155.897284125284
"150",141.296299283013
"151",173.232657239146
"152",182.11771237201
"153",144.360784831837
"154",148.205355344474
"155",96.9362447046597
"156",280.027090409358
"157",178.304668836134
"158",190.532195986678
"159",184.923006851867
"160",184.923006851867
"161",187.754345071017
"162",95.2638170553176
"163",166.525774472291
"164",144.360784831837
"165",218.465076767527
"166",202.323881303622
"167",211.062847177408
"168",83.0588363966077
"169",77.7651795628309
"170",113.652699348726
"171",144.552271749153
"172",77.7651795628309
"173",151.412530803078
"174",149.995962224953
"175",164.963307873352
"176",112.475029690308
"177",96.0699589900694
"178",263.721391205395
"179",128.07261431177
"180",125.101693058131
"181",223.456330340117
"182",59.4143902877544
"183",184.923006851867
"184",64.6479287575996
"185",205.49774438447
"186",92.2243987105414
"187",153.236205355862
"188",164.963307873352
"189",59.4143902877544
"190",124.782411929089
"191",184.923006851867
"192",263.237620310765
"193",121.496558012576
"194",263.237620310765
"195",115.655786615272
"196",163.40826199631
"197",83.1338101578201
"198",88.1165501147955
"199",148.205355344474
"200",96.3737526632042
"201",108.153162666195
"202",61.2402753150824
"203",85.6294131040806
"204",169.142250476653
"205",163.40826199631
"206",220.567709809785
"207",96.9362447046597
"208",73.429363520417
"209",266.239044083322
"210",230.375441060516
"211",138.78296408502
"212",64.6479287575996
"213",95.2638170553176
"214",125.101693058131
"215",107.911779725708
"216",233.619407551693
"217",155.897284125284
"218",173.432702643334
"219",106.261001015561
"220",96.0699589900694
"221",149.995962224953
"222",122.067957364315
"223",211.062847177408
"224",121.496558012576
"225",71.0416856387684
"226",110.878113024881
"227",302.042922896699
