"","alpha"
"1",5.32526937770923
"2",4749.59589475677
"3",1472.89474033712
"4",0.361823811673963
"5",0.802895287119714
"6",15299.7358532875
"7",13389.1190577794
"8",14478.2861973349
"9",0.690399788249348
"10",0.815879373733023
"11",0.820055849928347
"12",3043.72052978706
"13",4.03593632088315
"14",1.08566472993557
"15",1.16777222871604
"16",0.315047924794169
"17",7000.45888983478
"18",2.69014374322049
"19",1.48598576168991
"20",5852.0962553504
"21",1.08593268924292
"22",0.994597239090037
"23",0.439421320104766
"24",7386.05361274024
"25",6.94282530065884
"26",4.58507296592562
"27",10889.5995371543
"28",4.03593632088315
"29",3.21585397885859
"30",1.08593268924292
"31",4.03593632088315
"32",3.21585397885859
"33",1.68290778367908
"34",0.904985588112715
"35",2.14641504757567
"36",0.689724699189374
"37",7401.11231471687
"38",13389.1190577794
"39",251.342033318108
"40",4111.22111915397
"41",8372.68695747764
"42",2.14641504757567
"43",5852.0962553504
"44",5.32526937770923
"45",0.815879373733023
"46",11.49109622564
"47",7401.11231471687
"48",0.429461680318589
"49",8372.68695747764
"50",2213.17348836746
"51",251.342033318108
"52",0.93240552534959
"53",4.03593632088315
"54",1.29040748330602
"55",0.535371947980304
"56",1.34724232671553
"57",27949.9813256344
"58",0.673748783768527
"59",11831.7434436283
"60",16108.3990475276
"61",4.03593632088315
"62",7401.11231471687
"63",0.837225584856119
"64",4.03593632088315
"65",1.16446658145586
"66",1.34724232671553
"67",7572.52311301028
"68",2.95362719779502
"69",21995.5165286438
"70",1.50594610998397
"71",0.377926293189162
"72",0.458846681197042
"73",3.16017585353735
"74",7401.11231471687
"75",2.69014374322049
"76",0.711757579132534
"77",2.12346904991041
"78",7386.05361274024
"79",1066.77761145362
"80",9.33364759239734
"81",8240.83286372788
"82",4.03593632088315
"83",6498.27974291118
"84",0.609906355804134
"85",995.150323111363
"86",5333.53600658563
"87",10138.6761869345
"88",1.29040748330602
"89",1.08593268924292
"90",2961.41563007118
"91",10356.4311354918
"92",0.52861347901949
"93",6498.27974291118
"94",22114.3735584039
"95",4312.34304220335
"96",8240.83286372788
"97",5333.53600658563
"98",21995.5165286438
"99",5172.29713744934
"100",5529.19483958561
"101",0.894559693166585
"102",3857.57844078927
"103",9220.31208306689
"104",3271.02775495593
"105",7000.45888983478
"106",0.161696224131702
"107",935.848651383706
"108",1.5583310754205
"109",32.9618358212066
"110",5.32526937770923
"111",5.32526937770923
"112",995.150323111363
"113",0.506120516908188
"114",2.95362719779502
"115",0.824875761171408
"116",21995.5165286438
"117",1.5583310754205
"118",1.34724232671553
"119",10356.4311354918
"120",7386.05361274024
"121",4312.34304220335
"122",32.9618358212066
"123",8240.83286372788
"124",1.48598576168991
"125",10894.0021121599
"126",1.48598576168991
"127",4.09154357912569
"128",6360.54471297704
"129",12634.7557822374
"130",1.16446658145586
"131",7538.096745959
"132",1.16711428693532
"133",15299.7358532875
"134",2.12346904991041
"135",2.69014374322049
"136",12510.2048642835
"137",2.95477654327555
"138",31705.972092404
"139",1066.77761145362
"140",13389.1190577794
"141",2.14641504757567
"142",4.03593632088315
"143",1.43249956395572
"144",7000.45888983478
"145",0.862412461479308
"146",1.16711428693532
"147",1.16711428693532
"148",5485.55680776442
"149",251.342033318108
"150",5333.53600658563
"151",1.83661630662012
"152",0.549479081201127
"153",10539.744470078
"154",3.16017585353735
"155",16046.5367668576
"156",6704.99754518906
"157",4499.38455662663
"158",1472.89474033712
"159",7386.05361274024
"160",7386.05361274024
"161",7401.11231471687
"162",2.14641504757567
"163",10356.4311354918
"164",10539.744470078
"165",4.09154357912569
"166",1.08340997600048
"167",11831.7434436283
"168",3.2293061672825
"169",0.802895287119714
"170",120.925568243033
"171",2.12346904991041
"172",0.802895287119714
"173",7000.45888983478
"174",4.58507296592562
"175",1.16446658145586
"176",1.50594610998397
"177",2.05603148049869
"178",2.52029112393029
"179",8372.68695747764
"180",21995.5165286438
"181",2633.31034706123
"182",0.768629922415638
"183",7386.05361274024
"184",0.52890718183281
"185",1.23129671492479
"186",1.59925343733749
"187",995.150323111363
"188",1.16446658145586
"189",0.768629922415638
"190",0.815879373733023
"191",7386.05361274024
"192",2961.41563007118
"193",2.95477654327555
"194",2961.41563007118
"195",1.96426837517328
"196",27949.9813256344
"197",0.506120516908188
"198",4111.22111915397
"199",3.16017585353735
"200",2.72021595892743
"201",3043.72052978706
"202",0.198929784469235
"203",5.99455163921656
"204",1.48598576168991
"205",27949.9813256344
"206",3857.57844078927
"207",16046.5367668576
"208",1.57859391769973
"209",2297.68304655593
"210",6417.18216155845
"211",1.5583310754205
"212",0.52890718183281
"213",2.14641504757567
"214",21995.5165286438
"215",0.487213433985713
"216",6061.91848054736
"217",251.342033318108
"218",0.460291534315125
"219",0.490431459602841
"220",2.05603148049869
"221",4.58507296592562
"222",14478.2861973349
"223",11831.7434436283
"224",2.95477654327555
"225",0.63470040694275
"226",15142.854732648
"227",4312.34304220335
"228",3.16017585353735
"229",1.48598576168991
"230",4499.38455662663
"231",2.12346904991041
"232",1472.89474033712
"233",1669.79087194386
"234",1.59925343733749
"235",4312.34304220335
"236",0.506120516908188
"237",0.712421989889765
"238",0.734176129633169
"239",5.37884742775844
"240",10894.0021121599
"241",4499.38455662663
"242",16046.5367668576
"243",6417.18216155845
"244",1.5583310754205
"245",1.67502633143017
"246",24320.5439408102
"247",1.52564377107323
"248",4.03593632088315
"249",2.95477654327555
"250",1515.65830752826
"251",8855.6155178481
"252",2.14641504757567
"253",1.32090314599132
"254",5172.29713744934
"255",2633.31034706123
"256",6061.91848054736
"257",22114.3735584039
"258",1.57859391769973
"259",1.16446658145586
"260",5.32526937770923
"261",5333.53600658563
"262",4.58507296592562
"263",2.72021595892743
"264",1.34724232671553
"265",4.03593632088315
"266",6552.21065819161
"267",11.49109622564
"268",12159.319011867
"269",1.53007128553864
"270",7263.37312057724
"271",2.14641504757567
"272",2.12346904991041
"273",3857.57844078927
"274",2213.17348836746
"275",2.05603148049869
"276",5333.53600658563
"277",24320.5439408102
"278",1.08340997600048
"279",0.825824925273417
"280",5.32526937770923
"281",1.66240740024944
"282",0.749764231560829
"283",0.802895287119714
"284",0.532571667008611
"285",21995.5165286438
"286",0.605753549959216
"287",1.67502633143017
"288",6498.27974291118
"289",1.67398041946828
"290",5.32526937770923
"291",2633.31034706123
"292",0.673748783768527
"293",10138.6761869345
"294",6498.27974291118
"295",0.535371947980304
"296",1.84549576880239
