"","k"
"1",0.0040024754843589
"2",0.00516537012236066
"3",0.00419109314911348
"4",0.00715044165267857
"5",0.00567824516254304
"6",0.00531698215000552
"7",0.00282155830786914
"8",0.00457777591143318
"9",0.00237130113474349
"10",0.00452160274242194
"11",0.00314238718069551
"12",0.00457777591143318
"13",0.00258926307093896
"14",0.00263301254685371
"15",0.00659323604716282
"16",0.00287049536372716
"17",0.00299782710538562
"18",0.00851696571954358
"19",0.00817178181144416
"20",0.00212943467661215
"21",0.00675074212297544
"22",0.00312154607528351
"23",0.00286170011258816
"24",0.00300891344655004
"25",0.00388711826928667
"26",0.00225033607712882
"27",0.00576659386703458
"28",0.00347383799309335
"29",0.00419109314911348
"30",0.00352118733990719
"31",0.00394337862154808
"32",0.00378190280246693
"33",0.00744320764856991
"34",0.00397869769542486
"35",0.0043606997626532
"36",0.00325309062358505
"37",0.00328431333480919
"38",0.00274121099098798
"39",0.00328401922834094
"40",0.00586362186454043
"41",0.00480158600882772
"42",0.0036916291285311
"43",0.00388711826928667
"44",0.00452160274242194
"45",0.00817178181144416
"46",0.003439235094406
"47",0.00640805087648579
"48",0.00288620446789361
"49",0.00554059112261686
"50",0.00891101439460638
"51",0.0069139434151714
"52",0.00415315282482724
"53",0.00497117827238886
"54",0.00362444769107369
"55",0.00354973310233068
"56",0.00441058008102971
"57",0.00817178181144416
"58",0.00462984210378984
"59",0.00314238718069551
"60",0.00483185454752525
"61",0.00328401922834094
"62",0.00640805087648579
"63",0.00730811956394843
"64",0.00625134701349012
"65",0.00541193929594438
"66",0.00363723959100586
"67",0.00374814675326775
"68",0.00625134701349012
"69",0.0036916291285311
"70",0.00388711826928667
"71",0.00328401922834094
"72",0.00474470434417792
"73",0.00339918488201262
"74",0.00297934428883146
"75",0.00982132358570267
"76",0.00399299258198779
"77",0.00332622683123232
"78",0.00374814675326775
"79",0.00942237376473118
"80",0.00715044165267857
"81",0.00314238718069551
"82",0.00339085765694345
"83",0.00285344445862987
"84",0.00525896957533313
"85",0.00640805087648579
"86",0.00625134701349012
"87",0.00623701845950976
"88",0.00623701845950976
"89",0.00531698215000552
"90",0.00371309758358147
"91",0.00163055016785823
"92",0.0040024754843589
"93",0.00457777591143318
"94",0.00466147781181273
"95",0.00474470434417792
"96",0.00536209453797533
"97",0.00536209453797533
"98",0.00347383799309335
"99",0.00306225761404363
"100",0.00592679038945666
"101",0.0034466651215696
"102",0.00310168425626128
"103",0.00506061904227473
"104",0.00564041254582052
"105",0.00462984210378984
"106",0.00299782710538562
"107",0.00323843424111568
"108",0.00506061904227473
"109",0.00554059112261686
"110",0.0036916291285311
"111",0.00518577949277794
"112",0.00319603784968625
"113",0.00466147781181273
"114",0.00424179135833722
"115",0.00191592725295463
"116",0.00238524774352786
"117",0.00443920642204293
"118",0.00474470434417792
"119",0.00667844020002665
"120",0.00470344748126847
"121",0.00396764416971437
"122",0.00443920642204293
"123",0.00277075146415121
"124",0.00503020026173553
"125",0.00466147781181273
"126",0.00196040348813179
"127",0.0036916291285311
"128",0.00466147781181273
"129",0.00334744377731672
"130",0.00330886903778514
"131",0.00466147781181273
"132",0.00891101439460638
"133",0.00354301999366262
"134",0.00334744377731672
"135",0.00421357270272488
"136",0.00741308078498543
"137",0.00297934428883146
"138",0.00606865555717496
"139",0.00426120599821988
"140",0.00554059112261686
"141",0.00352118733990719
"142",0.00371309758358147
"143",0.00606865555717496
"144",0.00399299258198779
"145",0.00436454387351355
"146",0.00421357270272488
"147",0.00567824516254304
"148",0.00339085765694345
"149",0.00263301254685371
"150",0.00483185454752525
"151",0.00388644518580854
"152",0.00323843424111568
"153",0.00317780267946637
"154",0.00652740426234612
"155",0.00419109314911348
"156",0.00640805087648579
"157",0.00426120599821988
"158",0.00554059112261686
"159",0.00299782710538562
"160",0.00349377569891377
"161",0.00376353196031161
"162",0.00715044165267857
"163",0.00419109314911348
"164",0.00669926129584832
"165",0.00326216740908239
"166",0.00541193929594438
"167",0.00506061904227473
"168",0.00552148965881886
"169",0.00386124757293118
"170",0.00229328827364113
"171",0.0119419061418114
"172",0.00870319160168619
"173",0.00334744377731672
"174",0.00715044165267857
"175",0.00334744377731672
"176",0.0036916291285311
"177",0.00399299258198779
"178",0.00715044165267857
"179",0.00741308078498543
"180",0.00516537012236066
"181",0.00371309758358147
"182",0.00424179135833722
"183",0.00625134701349012
"184",0.00206023988829248
"185",0.00546184085683737
"186",0.00513254053086283
"187",0.00351508964998455
"188",0.00734196556428092
"189",0.00493178427609041
"190",0.00321584659153902
"191",0.0035709807164906
"192",0.00306225761404363
"193",0.00524219556546927
"194",0.00308169447534983
"195",0.00312154607528351
"196",0.00474470434417792
"197",0.00490559326673873
"198",0.00516537012236066
"199",0.00809633426989699
"200",0.00398868994203438
"201",0.00360271314858897
"202",0.00314238718069551
"203",0.00277075146415121
"204",0.00374814675326775
"205",0.00314238718069551
"206",0.00273329476514871
"207",0.00443920642204293
"208",0.00426120599821988
"209",0.00374814675326775
"210",0.00388711826928667
"211",0.00503020026173553
"212",0.00452160274242194
"213",0.00452160274242194
"214",0.00462984210378984
"215",0.00506061904227473
"216",0.00323843424111568
"217",0.00474470434417792
"218",0.00212179815907725
"219",0.00342075533436207
"220",0.00376353196031161
"221",0.00474470434417792
"222",0.00490559326673873
"223",0.00640805087648579
"224",0.00399299258198779
"225",0.00349377569891377
"226",0.0036916291285311
"227",0.0069139434151714
"228",0.00191592725295463
"229",0.00366408300797903
"230",0.00590083827191575
"231",0.0069139434151714
"232",0.00314238718069551
"233",0.00564041254582052
"234",0.00419109314911348
"235",0.00314238718069551
"236",0.00567824516254304
"237",0.00415315282482724
"238",0.00466147781181273
"239",0.00254167355225751
"240",0.00360271314858897
"241",0.00296183164511581
"242",0.00466147781181273
"243",0.00271542823420746
"244",0.00480158600882772
"245",0.00443356436194299
"246",0.00506061904227473
"247",0.00506061904227473
"248",0.00366746592668434
"249",0.00274861012451497
"250",0.00352118733990719
"251",0.00254167355225751
"252",0.00593049539354232
"253",0.00344458267772002
"254",0.00606865555717496
"255",0.00474470434417792
