"","k"
"1",0.00719315718874696
"2",0.0019667365606599
"3",0.00399896108231874
"4",0.00312581116189405
"5",0.00217803359076368
"6",0.00589240208170243
"7",0.000375632187422774
"8",0.00271190816978577
"9",0.00256889604850777
"10",0.00471372345453197
"11",0.00308665777888715
"12",0.00172510027337883
"13",0.00312581116189405
"14",0.00174543385022616
"15",0.00373855670702779
"16",0.00200494052644911
"17",0.00321387668748568
"18",0.0047554840043373
"19",0.0153854534882705
"20",0.00274701265401837
"21",0.00436546707992639
"22",0.00311144684448218
"23",0.00196639033214288
"24",0.002985093783399
"25",0.00471372345453197
"26",0.00274701265401837
"27",0.00171738290185112
"28",0.00620251330998014
"29",0.0019667365606599
"30",0.00562023712521825
"31",0.00562023712521825
"32",0.00374288943831293
"33",0.00172510027337883
"34",0.00170973756101297
"35",0.00941343213184452
"36",0.0038788437023962
"37",0.00373855670702779
"38",0.00274701265401837
"39",0.00308665777888715
"40",0.00316290425639563
"41",0.00221483291799463
"42",0.00321387668748568
"43",0.00171738290185112
"44",0.00256889604850777
"45",0.00200494052644911
"46",0.01996068404848
"47",0.00966146443317554
"48",0.00267317482892268
"49",0.00174543385022616
"50",0.00221483291799463
"51",0.00504584612392725
"52",0.00155858813617157
"53",0.00269886528569301
"54",0.00321387668748568
"55",0.00314423606208721
"56",0.002985093783399
"57",0.00384788360226644
"58",0.0038788437023962
"59",0.00941343213184452
"60",0.00492055960939184
"61",0.00372005748669837
"62",0.00269886528569301
"63",0.00453231389078299
"64",0.00471372345453197
"65",0.00175342189262788
"66",0.0037660394010249
"67",0.00312581116189405
"68",0.0025172458447965
"69",0.00255443665918108
"70",0.0047554840043373
"71",0.00374288943831293
"72",0.00256889604850777
"73",0.00941343213184452
"74",0.00324099011175117
"75",0.00312581116189405
"76",0.00325735140721787
"77",0.00374288943831293
"78",0.0019667365606599
"79",0.00376540375408257
"80",0.0021680817581636
"81",0.00562023712521825
"82",0.00255443665918108
"83",0.00175342189262788
"84",0.00116285708628437
"85",0.00200494052644911
"86",0.00312581116189405
"87",0.00127544643964076
"88",0.00439357239619441
"89",0.00255443665918108
"90",0.00703238595789423
"91",0.00158761462333887
"92",0.00373855670702779
"93",0.012573057706479
"94",0.00660186912829546
"95",0.00175342189262788
"96",0.00316290425639563
"97",0.00172510027337883
"98",0.00250342122737898
"99",0.00221483291799463
"100",0.00196639033214288
"101",0.00456551665071681
"102",0.00387812784198404
"103",0.00659288286585717
"104",0.00314423606208721
"105",0.0105366516167872
"106",0.00312581116189405
"107",0.00324099011175117
"108",0.00562023712521825
"109",0.00429110052778539
"110",0.00144185327038353
"111",0.00384788360226644
"112",0.00492055960939184
"113",0.00221483291799463
"114",0.00312581116189405
"115",0.00308665777888715
"116",0.0030604206397226
"117",0.00269886528569301
"118",0.00153665677823122
"119",0.00505397653260316
"120",0.00153064452205149
"121",0.0019667365606599
"122",0.0019667365606599
"123",0.00547647984090829
"124",0.00695359173906232
"125",0.00127544643964076
"126",0.00384788360226644
"127",0.0037660394010249
"128",0.00221483291799463
"129",0.00507991075013923
"130",0.00941343213184452
"131",0.00471372345453197
"132",0.0038788437023962
"133",0.00105298796985789
"134",0.00171738290185112
"135",0.0127838921604408
"136",0.00374288943831293
"137",0.00221483291799463
"138",0.00373855670702779
"139",0.00155858813617157
"140",0.00567438254346474
"141",0.00384788360226644
"142",0.0291805082186393
"143",0.00492055960939184
"144",0.00307798331934787
"145",0.00452777245943942
"146",0.00152467983170668
"147",0.00941343213184452
"148",0.0121836495238737
"149",0.00325735140721787
"150",0.00471372345453197
"151",0.002985093783399
"152",0.0030604206397226
"153",0.0037660394010249
"154",0.00537860452853451
"155",0.00274701265401837
"156",0.00324099011175117
"157",0.00129572509202449
"158",0.00195639607478122
"159",0.00248976091590335
"160",0.0053983256849095
"161",0.00374288943831293
"162",0.00324099011175117
"163",0.00115829034323673
"164",0.00471372345453197
"165",0.00221483291799463
"166",0.00175342189262788
"167",0.00178276170866221
"168",0.00221483291799463
"169",0.0140418291049293
"170",0.00385449742676147
"171",0.00512098967383786
"172",0.00323350141753338
"173",0.00384788360226644
