,k
1,0.003425721
2,0.006408051
3,0.002979344
4,0.005316982
5,0.005362095
6,0.004039524
7,0.002961832
8,0.003215847
9,0.004962591
10,0.003952268
11,0.003390858
12,0.0041239
13,0.005316982
14,0.005060619
15,0.004364544
16,0.004744704
17,0.005060619
18,0.006068656
19,0.010938793
20,0.002196433
21,0.003748147
22,0.003978698
23,0.006414984
24,0.004439206
25,0.006237018
26,0.003992993
27,0.005863622
28,0.010312615
29,0.003081694
30,0.003121546
31,0.004002475
32,0.008171782
33,0.003992993
34,0.002997827
35,0.004252623
36,0.002514406
37,0.002348285
38,0.004887176
39,0.004213573
40,0.002514406
41,0.008911014
42,0.00363724
43,0.008911014
44,0.005060619
45,0.004703447
46,0.006251347
47,0.003713098
48,0.006913943
49,0.009821324
50,0.002003003
51,0.00275473
52,0.006408051
53,0.00354302
54,0.003748147
55,0.003978698
56,0.003691629
57,0.003886445
58,0.005678245
59,0.004191093
60,0.006913943
61,0.005470793
62,0.007413081
63,0.003863746
64,0.004276248
65,0.005805391
66,0.004191093
67,0.003952268
68,0.003521187
69,0.00449209
70,0.002961832
71,0.002961832
72,0.008703192
73,0.006593236
74,0.00607833
75,0.006593236
76,0.003836802
77,0.002997827
78,0.003570981
79,0.004002475
80,0.002961832
81,0.010938793
82,0.008516966
83,0.003142387
84,0.00363724
85,0.004744704
86,0.00221898
87,0.003888199
88,0.004744704
89,0.004433564
90,0.003763532
91,0.00275473
92,0.007413081
93,0.003815712
94,0.004801586
95,0.003392933
96,0.008703192
97,0.003887118
98,0.0041239
99,0.002457966
100,0.006068656
101,0.006706604
102,0.006068656
103,0.004470129
104,0.003284019
105,0.004521603
106,0.003238434
107,0.003570981
108,0.00274861
109,0.003691629
110,0.003748147
111,0.001803037
112,0.003920152
113,0.003943379
114,0.003347444
115,0.007150442
116,0.004661478
117,0.004241791
118,0.004261206
119,0.006237018
120,0.005316982
121,0.004213573
122,0.00416234
123,0.004801586
124,0.009785249
125,0.006408051
126,0.003284019
127,0.00354302
128,0.004433564
129,0.003952268
130,0.003101684
131,0.0041239
132,0.010312615
133,0.006068656
134,0.004261206
135,0.003943379
136,0.010938793
137,0.00730812
138,0.003691629
139,0.002979344
140,0.005060619
141,0.0043607
142,0.003196038
143,0.003748147
144,0.002278422
145,0.003444583
146,0.004661478
147,0.004905593
148,0.004905593
149,0.003664313
150,0.007150442
151,0.004059426
152,0.004213573
153,0.006593236
154,0.00449209
155,0.003347444
156,0.003723592
157,0.007000204
158,0.003521187
159,0.006121697
160,0.002879652
161,0.00416234
162,0.003253091
163,0.005678245
164,0.009821324
165,0.003748147
166,0.004261206
167,0.002853444
168,0.003936439
169,0.003101684
170,0.005060619
171,0.004962591
172,0.002603293
173,0.007000204
174,0.003493776
175,0.005132541
176,0.001860178
177,0.004153153
178,0.004661478
179,0.00449209
180,0.00637555
181,0.00354302
182,0.003347444
183,0.005362095
184,0.002447383
185,0.004213573
186,0.003142387
187,0.002715428
188,0.003822585
189,0.003748147
190,0.003215847
191,0.005316982
192,0.00592679
193,0.005678245
194,0.005411939
195,0.003420755
196,0.004905593
197,0.003392933
198,0.0043607
199,0.003978698
200,0.001960403
201,0.00354302
202,0.003815712
203,0.003967644
204,0.003920152
205,0.003238434
206,0.00573094
207,0.004577776
208,0.003444583
209,0.003952268
210,0.00315872
211,0.003253091
212,0.005060619
213,0.006237018
214,0.004002475
215,0.00516537
216,0.002385248
217,0.002514406
218,0.007443208
219,0.003992993
220,0.003521187
221,0.004577776
222,0.003691629
223,0.004439206
224,0.008516966
225,0.004433564
226,0.006593236
227,0.004408446
228,0.003604158
229,0.005132541
230,0.005540591
231,0.011941906
232,0.005060619
233,0.00525897
234,0.003763532
235,0.003691629
236,0.002541674
237,0.004744704
238,0.00516537
239,0.009785249
240,0.011238921
241,0.003347444
242,0.002997827
243,0.003521187
244,0.003887118
245,0.005132541
246,0.00274861
247,0.004191093
248,0.003763532
249,0.004408446
250,0.00592679
251,0.002997827
252,0.00592679
253,0.003920152
254,0.006068656
255,0.006237018
256,0.005411939
257,0.004521603
258,0.004661478
259,0.004002475
260,0.003392933
261,0.002529867
262,0.003624448
263,0.002358319
264,0.003238434
265,0.002603293
266,0.003253091
267,0.006251347
268,0.00607833
269,0.006408051
270,0.003925679
271,0.005185779
272,0.007413081
273,0.006750742
274,0.004962591
275,0.004860781
276,0.003925679
277,0.003284019
278,0.007150442
279,0.003439235
280,0.004661478
281,0.002833738
282,0.004521603
283,0.007150442
284,0.004261206
285,0.002447383
286,0.003473838
287,0.00354302
288,0.005766594
289,0.005060619
290,0.004801586
291,0.004191093
292,0.006699261
293,0.004807107
294,0.005060619
295,0.0041239
296,0.005461841
297,0.004887176
298,0.003775674
299,0.005132541
300,0.005640413
301,0.005316982
302,0.008383902
303,0.001585808
304,0.00516537
305,0.004332902
306,0.007150442
307,0.003101684
308,0.005540591
309,0.001960403
310,0.004744704
311,0.00590085
312,0.005242196
313,0.004433564
314,0.006005133
315,0.002853444
316,0.003521187
317,0.00354302
318,0.004261206
319,0.004479696
320,0.004860781
321,0.006527404
322,0.003262167
323,0.003691629
324,0.00354302
325,0.003748147
326,0.007413081
327,0.003045428
328,0.002853444
329,0.006408051
330,0.005540591
331,0.00363724
332,0.00590085
333,0.003101684
334,0.005132541
335,0.003101684
336,0.003748147
337,0.004801586
338,0.00592679
339,0.003101684
340,0.004553978
341,0.003925679
342,0.004905593
343,0.003748147
344,0.007689756
345,0.004406803
346,0.003142387
347,0.003748147
348,0.003691629
349,0.003079476
350,0.007259958
351,0.005540591
352,0.002633013
353,0.002853444
354,0.003815712
355,0.003925679
356,0.007000204
357,0.002541674
358,0.004703447
359,0.00516537
360,0.003473838
361,0.003142387
362,0.0041239
363,0.008703192
364,0.004744704
365,0.003748147
366,0.004340033
367,0.003664313
368,0.003992993
369,0.003952268
370,0.003925679
371,0.009422374
372,0.005540591
373,0.003284019
374,0.004241791
375,0.008383902
376,0.001290066
377,0.004744704
378,0.003815712
379,0.005540591
380,0.003604158
381,0.007211954
382,0.006750742
383,0.005242196
384,0.003121546
385,0.004439206
386,0.006414984
387,0.006068656
388,0.011941906
389,0.004191093
390,0.00516537
391,0.002961832
392,0.004944045
393,0.006593236
394,0.004191093
395,0.008383902
396,0.003992993
397,0.004744704
398,0.006535287
399,0.004521603
400,0.004801586
401,0.002879652
402,0.002790507
403,0.006408051
404,0.005060619
405,0.005488512
406,0.007150442
407,0.007518242
408,0.003347444
409,0.0041239
410,0.007211954
411,0.003888199
412,0.006408051
413,0.002196433
414,0.004521603
415,0.00312243
416,0.004661478
417,0.003101684
418,0.007150442
419,0.00592679
420,0.003444583
421,0.004261206
